word	rank_a	rank_b	english
noći	494	435	night, nighttime
polako	495	489	slowly
draga	496	463	bay, gulf
slučaj	497	470	case, occurrence, event, incident
lice	498	507	face
pojma	499	516	concept, idea, notion
moći	500	430	can, to be able to
pored	501	461	beside, next to, alongside
novca	502	524	money
živi	503	458	live, alive
kraju	504	495	end, ending
dve	505	321	two
svom	506	504	one's own
oči	507	457	eye
brod	508	522	ship
kažu	509	473	to say, to state
voliš	510	476	to love
odakle	511	497	whence, from where
vodi	512	511	water
vratio	513	499	to return, come back
nećemo	514	450	to wish, want, desire
sobu	515	518	room
ha	516	590	expresses laughter
biste	517	468	genitive singular
svega	518	501	masculine genitive singular
čudno	519	449	oddly, weirdly, strangely
žele	520	525	jelly
laku	521	506	easy
poslije	522	928	later
sina	523	515	shadow; shade
manje	524	520	less
nje	525	521	of her
prilično	526	498	rather, pretty, quite, fairly
uzeti	527	646	to take
oružje	528	542	weapon
razlog	529	538	reason, cause
daleko	530	523	far
momak	531	533	a young man, lad
pištolj	532	549	pistol, handgun
smrt	533	508	death
vjerovati	534	920	to believe, have faith in
četiri	535	496	four
sobi	536	546	room
svima	537	531	everyone, everybody
takođe	538	400	also, too
jesu	539	559	third-person plural present of bȉti
vode	540	554	water
šanse	541	517	chance, opportunity
ikad	542	572	ever, at any time
ispod	543	550	below, under, beneath
čujem	544	488	to hear
njen	545	543	her, hers
neku	546	510	some
našli	547	535	to find, discover
dolje	548	945	down
telefon	549	584	telephone
spremni	550	579	ready, prepared
bile	551	537	moreover, even
ostani	552	592	to stay, remain
nekako	553	553	somehow
dajte	554	575	to give
moguće	555	503	possibly
gradu	556	574	city, town
zovem	557	563	to call, to be called
poruku	558	580	message
ovi	559	595	this, this one
sinoć	560	529	last night, yesterday night; yesterday evening
kojeg	561	717	masculine genitive singular
njoj	562	561	to her
šest	563	545	six
verovatno	564	330	probably
rat	565	597	war
njegove	566	562	his
otišla	567	548	to leave, part, depart
sastanak	568	560	tryst
želio	569	986	to wish, desire
ispred	570	565	in front of, before
volio	571	1054	to love
dragi	572	544	dear
umro	573	558	to die
čula	574	534	to hear
sestra	575	587	sister
ovome	576	593	this, this one
svijet	577	1222	world
uzeo	578	581	to take
ovih	579	591	masculine genitive plural
dete	580	348	child, kid
jedina	581	616	sole, only
sine	582	588	son
oboje	583	594	both
kola	584	474	cart, wagon, vehicle
jedino	585	567	only, solely
nekim	586	583	instrumental of nȅtko / nȅko
deo	587	351	part
igra	588	586	to play
uopšte	589	416	generally, in general
iako	590	573	albeit, although, even though
dečko	591	539	boy
dođe	592	547	to come, arrive
putu	593	606	road
pogledajte	594	599	to look, glance, cast an eye upon
krv	595	578	blood
dali	596	662	masculine plural active past participle of dȁti
čim	597	551	the, as
zemlji	598	605	earth
djevojka	599	1329	girl, maiden
točno	600	792	exactly, correctly
morati	601	615	to have to; must
brate	602	612	brother
želimo	603	600	to wish, desire
svim	604	620	masculine/neuter instrumental singular
isti	605	614	same
svijetu	606	1250	world
kome	607	555	to whom
boli	608	634	to stab
deset	609	602	ten
san	610	582	sleep
pitao	611	608	to ask
zemlju	612	621	earth
vjerojatno	613	881	probably
poslu	614	633	job
drugu	615	630	friend
vidjeli	616	1113	to see
druga	617	623	friend
piće	618	568	drink, beverage
takav	619	596	such, of such kind
videla	620	373	to see
devojka	621	441	girl, maiden
poziv	622	654	call
jebeno	623	728	fucking
postoje	624	629	to retain a position
barem	625	677	at least
eto	626	622	look, see, behold
film	627	609	film
pronaći	628	692	to find
niti	629	666	nor
negdje	630	1264	somewhere
kim	631	644	whom
sretan	632	979	happy, merry
ostali	633	625	to stay, remain
miru	634	626	peace
muž	635	601	husband
nastavi	636	642	to continue
odem	637	564	to leave, part, depart
poslao	638	657	to send
svako	639	603	everyone, everybody
kuća	640	589	house
lud	641	643	crazy
znali	642	650	to know
drugom	643	632	friend
pitanju	644	628	question
tih	645	655	quiet, silent
ostalo	646	638	the other
krevet	647	637	bed
doktor	648	617	doctor, physician
k	649	701	to
kraja	650	648	end, ending
natrag	651	795	back, backwards
budu	652	610	to be, to exist
mjesta	653	1297	place
nova	654	670	new
čuješ	655	618	to hear
napolje	656	541	outside
stan	657	680	flat, apartment
pošto	658	556	after
jedva	659	652	barely, hardly, scarcely, only just
vani	660	1090	outside, outdoors, out
tražio	661	631	to seek, look for, search
bas	662	1369	bass
grada	663	674	city, town
zemlje	664	671	earth
jutros	665	651	this morning
shvatio	666	669	to understand, comprehend, grasp, conceive
posebno	667	664	individually, separately
dobila	668	684	to receive, get, obtain, acquire
ujutro	669	818	in the morning
budemo	670	613	first-person plural present of bȉti
hajdemo	671	624	let's go
roditelji	672	693	parent
djeca	673	1415	children
također	674	1096	likewise, also, too
odgovor	675	667	answer
brata	676	658	brother
godinu	677	694	year
riječ	678	1188	word
noge	679	683	leg
zanima	680	659	to interest
ostaviti	681	802	to leave
red	682	691	row
porodica	683	611	family
dobri	684	685	good
važi	685	536	to weigh
zao	686	1261	evil, malicious, bad, mean, wicked
tijelo	687	1391	body
priliku	688	719	opportunity
the	689	794	alternative spelling of da
živ	690	661	live, alive
gospodin	691	668	gentleman
jesmo	692	721	first-person plural present of bȉti
pravila	693	720	rule
strani	694	729	side
bitno	695	732	essentially, in essence
misle	696	699	to think
obitelj	697	1056	family
nosi	698	689	to carry, bring
mjestu	699	1381	place
čeka	700	635	to wait, await
pričati	701	872	to narrate, tell
pitati	702	912	to ask
piše	703	656	to write
zadnji	704	850	back, rear, hind
radila	705	738	to work
bolji	706	703	good
time	707	697	masculine/neuter instrumental singular of tȃj
sobom	708	714	myself
sedam	709	734	seven
idu	710	724	to go, walk
um	711	786	mind
zbogom	712	705	goodbye, farewell
svetu	713	479	holy, saint
nove	714	731	new
hranu	715	744	food
vrsta	716	730	kind, sort
kunem	717	735	to curse
ajde	718	749	alternative form of hàjde
napad	719	757	attack, assault, aggression
umrijeti	720	1435	to die
policajac	721	827	policeman
obično	722	649	usually, commonly, ordinarily
ceo	723	502	whole
godinama	724	716	for years; in years
konačno	725	645	finally, at last
trenutno	726	704	currently
svakako	727	665	certainly, of course
iskreno	729	702	sincerely, honestly
glavni	730	745	main, chief, principal
kasno	731	698	late
među	732	675	between
kriv	733	682	guilty, culpable
kurac	734	873	penis, dick, cock
zatvor	735	768	prison, jail
stara	736	754	old
slike	737	739	picture, image
vodu	738	740	water
videti	739	453	to see
savršeno	740	678	perfectly
pustiti	741	891	to let, let go, release
prokletstvo	742	780	curse
negde	743	491	somewhere
čuli	744	681	to hear
dom	745	759	home, house
soba	746	773	room
usta	747	767	mouth
našla	748	713	to find, discover
nekad	749	696	once, in former times
svet	750	455	holy, saint
veče	751	571	evening
strašno	752	672	terribly, awfully, horribly
ka	753	700	as, like
jest	754	933	third-person singular present of bȉti
tokom	755	695	during
stigao	756	715	to arrive, reach
imena	757	791	genitive singular of ȉme
kojim	758	750	which, what
vole	759	765	ox
razgovor	760	774	talk, conversation
odvesti	761	882	to take, take away
gledati	762	917	to watch, look, see
novu	763	761	new
glas	764	756	voice
seks	765	777	sex
loš	766	736	bad, malicious
kralj	767	751	king
uradili	768	712	to do, make
uopće	769	1063	generally, in general
zoveš	770	742	to call, to be called
šef	771	787	chief, boss, manager, director, head
znak	772	772	sign
nećete	773	687	to wish, want, desire
društvo	774	727	society
pas	775	779	dog
inače	776	707	otherwise
greška	777	778	fault
zovi	778	810	to call, to be called
smiješno	779	1402	ridiculously, funnily
sedi	780	570	grey
pare	781	743	money
rad	782	793	willing
rođendan	783	784	birthday
kladim	784	803	to bet, wager
svaka	785	809	brother-in-law
izaći	786	883	to go out, leave, come out, get out
rukama	787	790	arm
čuti	788	906	to hear
smeta	789	776	to mind, care about
pogrešno	790	752	wrongly, erroneously
iznad	791	805	above, over
nemate	792	785	not to have
zemlja	793	782	earth
ubica	794	711	murderer, killer
često	795	706	often
pokušaj	796	758	attempt, try
završio	797	764	to end, end up, wind up
kuda	798	708	which way, in what direction
videli	799	509	to see
poklon	800	783	gift, present
ulazi	801	858	entrance
drugačije	802	726	differently
leđa	803	796	back
dupe	804	861	ass
osam	805	801	eight
oče	806	690	father
slika	807	808	picture, image
druže	808	679	to associate, socialize with
sasvim	809	688	completely, entirely, wholly
deca	810	569	children
kojem	811	1032	which, what
nemoguće	812	722	impossibly
kapetan	813	822	captain
jebote	814	859	fuck, holy shit, for fuck's sake
šteta	815	748	damage, harm
zatim	816	838	then, afterwards
kakvo	817	781	what kind of
pismo	818	769	alphabet
izbor	819	837	choice
zovu	820	840	to call, to be called
prestati	821	975	to stop, quit
dokaz	822	819	proof, evidence
muškarac	823	816	male, man
okolo	824	832	around
pokazati	825	980	to show, demonstrate
nekom	826	763	dative of nȅtko / nȅko
očigledno	827	663	obviously
trenutku	828	824	moment
pogled	829	812	view
ubistvo	830	709	murder
onu	831	807	feminine accusative singular of ònāj
kaži	832	753	to say, to state
tiče	833	741	bird
njihov	834	865	their, theirs
beba	835	829	baby
sav	836	841	all, complete, whole
knjigu	837	821	book
nekada	838	834	once, in former times
agent	839	908	agent
mozak	840	825	brain
nemaju	841	852	not to have
gledao	842	839	to watch, look, see
