word	rank_a	rank_b	english
godinu	677	699	year
riječ	678	435	word
noge	679	714	leg
zanima	680	591	to interest
ostaviti	681	594	to leave
red	682	711	row
dobri	684	696	good
važi	685	1190	to weigh
zao	686	1452	evil, malicious, bad, mean, wicked
tijelo	687	519	body
priliku	688	623	opportunity
the	689	727	alternative spelling of da
živ	690	650	live, alive
gospodin	691	731	gentleman
jesmo	692	662	first-person plural present of bȉti
pravila	693	749	rule
strani	694	715	side
bitno	695	827	essentially, in essence
misle	696	697	to think
obitelj	697	373	family
nosi	698	782	to carry, bring
mjestu	699	531	place
čeka	700	645	to wait, await
pričati	701	592	to narrate, tell
pitati	702	541	to ask
piše	703	677	to write
zadnji	704	610	back, rear, hind
radila	705	793	to work
bolji	706	706	good
time	707	620	masculine/neuter instrumental singular of tȃj
sobom	708	745	myself
sedam	709	765	seven
idu	710	792	to go, walk
um	711	712	mind
zbogom	712	733	goodbye, farewell
svetu	713	1786	holy, saint
nove	714	748	new
hranu	715	795	food
vrsta	716	676	kind, sort
kunem	717	767	to curse
ajde	718	912	alternative form of hàjde
napad	719	761	attack, assault, aggression
umrijeti	720	535	to die
policajac	721	771	policeman
obično	722	671	usually, commonly, ordinarily
godinama	724	755	for years; in years
konačno	725	774	finally, at last
trenutno	726	825	currently
svakako	727	681	certainly, of course
vjerovatno	728	1510	probably
iskreno	729	726	sincerely, honestly
glavni	730	743	main, chief, principal
kasno	731	791	late
među	732	667	between
kriv	733	656	guilty, culpable
kurac	734	760	penis, dick, cock
zatvor	735	756	prison, jail
stara	736	757	old
slike	737	784	picture, image
vodu	738	808	water
videti	739	1846	to see
savršeno	740	704	perfectly
pustiti	741	654	to let, let go, release
prokletstvo	742	876	curse
čuli	744	633	to hear
dom	745	719	home, house
soba	746	831	room
usta	747	812	mouth
našla	748	780	to find, discover
nekad	749	890	once, in former times
svet	750	1876	holy, saint
veče	751	1822	evening
strašno	752	721	terribly, awfully, horribly
ka	753	1073	as, like
jest	754	405	third-person singular present of bȉti
tokom	755	1524	during
stigao	756	814	to arrive, reach
imena	757	766	genitive singular of ȉme
kojim	758	799	which, what
razgovor	760	694	talk, conversation
odvesti	761	661	to take, take away
gledati	762	575	to watch, look, see
novu	763	790	new
glas	764	778	voice
seks	765	871	sex
loš	766	794	bad, malicious
kralj	767	776	king
uradili	768	1480	to do, make
uopće	769	394	generally, in general
zoveš	770	870	to call, to be called
šef	771	787	chief, boss, manager, director, head
znak	772	806	sign
nećete	773	687	to wish, want, desire
društvo	774	820	society
pas	775	777	dog
inače	776	659	otherwise
greška	777	1002	fault
zovi	778	949	to call, to be called
smiješno	779	580	ridiculously, funnily
pare	781	1714	money
rad	782	803	willing
rođendan	783	802	birthday
kladim	784	855	to bet, wager
svaka	785	864	brother-in-law
izaći	786	648	to go out, leave, come out, get out
rukama	787	816	arm
čuti	788	564	to hear
smeta	789	813	to mind, care about
pogrešno	790	931	wrongly, erroneously
iznad	791	836	above, over
nemate	792	804	not to have
zemlja	793	850	earth
često	795	728	often
pokušaj	796	763	attempt, try
završio	797	819	to end, end up, wind up
kuda	798	956	which way, in what direction
poklon	800	1052	gift, present
ulazi	801	951	entrance
drugačije	802	861	differently
leđa	803	724	back
dupe	804	1162	ass
osam	805	828	eight
oče	806	746	father
slika	807	884	picture, image
druže	808	1772	to associate, socialize with
sasvim	809	902	completely, entirely, wholly
kojem	811	679	which, what
nemoguće	812	769	impossibly
kapetan	813	837	captain
jebote	814	966	fuck, holy shit, for fuck's sake
šteta	815	796	damage, harm
zatim	816	675	then, afterwards
kakvo	817	875	what kind of
pismo	818	842	alphabet
izbor	819	847	choice
zovu	820	879	to call, to be called
prestati	821	701	to stop, quit
dokaz	822	800	proof, evidence
muškarac	823	818	male, man
okolo	824	885	around
pokazati	825	660	to show, demonstrate
nekom	826	918	dative of nȅtko / nȅko
očigledno	827	1114	obviously
trenutku	828	829	moment
pogled	829	832	view
onu	831	880	feminine accusative singular of ònāj
kaži	832	1424	to say, to state
tiče	833	764	bird
njihov	834	865	their, theirs
beba	835	964	baby
sav	836	921	all, complete, whole
knjigu	837	858	book
nekada	838	1154	once, in former times
agent	839	840	agent
mozak	840	849	brain
nemaju	841	886	not to have
gledao	842	862	to watch, look, see
novo	843	866	new
definitivno	844	895	definitely
zaustaviti	845	695	to stop
naši	846	822	our, ours
naprijed	847	617	forward, forwards
zakon	848	833	law, rule
sistem	849	1571	system
išta	850	797	any
apsolutno	851	943	absolutely
dogovor	852	914	agreement, deal
kreni	853	972	to move, set in motion
nađem	854	1166	to find, discover
luda	855	913	madman, insane person
vide	856	994	third-person plural present
pivo	858	906	beer
glupo	859	868	stupid, foolish
počinje	860	851	to begin, start, commence
vijesti	861	651	news
uđi	862	883	to enter, go into, come in
budite	863	887	to be, to exist
ovuda	864	907	this way, in this direction
potreban	865	1120	necessary
završiti	866	710	to end, end up, wind up
okej	867	1369	okay, all right, fine
rata	868	941	war
govoriti	869	622	to speak, talk, converse
loša	870	877	bad, malicious
ludo	872	872	crazily, insanely
dogoditi	873	607	to happen
stigli	874	948	masculine plural past active participle of stignuti pf
voda	875	934	water
hrane	876	962	food
nazvati	877	641	to name
išao	878	845	to go, walk
nađemo	879	970	to find, discover
platiti	880	735	to pay
ostatak	882	844	remainder, rest
umjesto	883	685	instead of
postati	884	798	to become, turn, get
saznati	885	741	to find out, come to know
auta	886	860	car, automobile
njegovog	887	992	his
spasiti	888	723	to save, salvage
ista	889	980	same
desi	890	1942	to happen, occur
ući	891	684	to enter, go into, come in
zvati	892	826	to call, to be called
nad	893	893	over, above
slobodno	895	897	freely
svuda	896	1365	everywhere
avion	897	1035	aeroplane
malu	898	1017	small
prošli	899	747	past, gone by
sir	900	786	cheese
živjeti	901	588	to live, exist, be alive
izgubiti	902	770	to lose, misplace
čast	903	834	honour
male	904	1028	small
ključ	905	824	key
dvojica	906	911	two men
tv	907	981	TV
jeli	908	1115	to eat, consume
kamo	909	506	where, in which direction, whither
tjedan	910	523	week
doma	911	584	at home, home
stanju	912	942	condition, state
jaja	914	991	egg
idete	915	955	to go, walk
početi	916	718	to begin, start, commence
djece	917	688	children
igru	918	984	play
srediti	919	821	to arrange, settle, put in order
mjesec	921	669	moon
žive	923	993	live, alive
bol	925	910	pain, aching
ponovno	926	498	repeatedly, once again
odjednom	927	932	suddenly, unexpectedly, at once
reči	928	1407	to say
njegovom	929	929	his
izvan	931	732	outside, out of
baci	932	1050	to throw, cast
prati	934	1058	to follow
dečki	935	470	boy
prijateljica	936	928	friend
pokaži	938	939	to show, demonstrate
m	939	977	masculine gender
knjige	940	935	book
