word	rank_a	rank_b	english
uraditi	693	557	to do, make
razgovor	694	774	talk, conversation
zaustaviti	695	1060	to stop
dobri	696	685	good
misle	697	699	to think
zemlje	698	671	earth
godinu	699	694	year
video	700	193	to see
prestati	701	975	to stop, quit
jebeno	702	728	fucking
kim	703	644	whom
savršeno	704	678	perfectly
smijem	705	1744	may, can
bolji	706	703	good
njen	707	543	her, hers
nova	708	670	new
drugom	709	632	friend
završiti	710	952	to end, end up, wind up
red	711	691	row
um	712	786	mind
dobila	713	684	to receive, get, obtain, acquire
noge	714	683	leg
strani	715	729	side
nastavi	716	642	to continue
momak	717	533	a young man, lad
početi	718	990	to begin, start, commence
dom	719	759	home, house
igrati	720	1172	to play
strašno	721	672	terribly, awfully, horribly
eto	722	622	look, see, behold
spasiti	723	1202	to save, salvage
leđa	724	796	back
ured	725	1666	office
iskreno	726	702	sincerely, honestly
the	727	794	alternative spelling of da
često	728	706	often
roditelji	730	693	parent
gospodin	731	668	gentleman
izvan	732	1094	outside, out of
zbogom	733	705	goodbye, farewell
riješiti	734	1856	to solve
platiti	735	1078	to pay
zauvijek	736	1921	forever
posebno	737	664	individually, separately
sretno	738	1648	luckily, with luck, having luck, with the help of luck
staviti	739	1238	to put, place
uspio	740	1848	to succeed, make good
saznati	741	1016	to find out, come to know
kćer	742	1594	alternative form of kćȋ
glavni	743	745	main, chief, principal
sobom	745	714	myself
oče	746	690	father
prošli	747	869	past, gone by
nove	748	731	new
pravila	749	720	rule
kome	750	555	to whom
dopustiti	751	1382	to allow, permit, let
nazad	752	392	back, backwards
shvatiti	753	1285	to understand, comprehend, grasp, conceive
brinuti	754	1190	to worry
godinama	755	716	for years; in years
zatvor	756	768	prison, jail
stara	757	754	old
držati	758	1178	to hold, grasp
promijeniti	759	1962	to change
kurac	760	873	penis, dick, cock
napad	761	757	attack, assault, aggression
pokušaj	763	758	attempt, try
tiče	764	741	bird
sedam	765	734	seven
imena	766	791	genitive singular of ȉme
kunem	767	735	to curse
doktor	768	617	doctor, physician
nemoguće	769	722	impossibly
izgubiti	770	1052	to lose, misplace
policajac	771	827	policeman
cura	772	1325	girl
kupiti	773	1182	to buy, purchase
konačno	774	645	finally, at last
izvući	775	1014	to pull out, draw out
kralj	776	751	king
pas	777	779	dog
glas	778	756	voice
pokušati	779	1105	to try, attempt
našla	780	713	to find, discover
jesti	781	1241	to eat, consume
nosi	782	689	to carry, bring
brate	783	612	brother
slike	784	739	picture, image
spavati	785	1337	to sleep
sir	786	982	cheese
šef	787	787	chief, boss, manager, director, head
hajdemo	788	624	let's go
pitanju	789	628	question
novu	790	761	new
kasno	791	698	late
idu	792	724	to go, walk
radila	793	738	to work
loš	794	736	bad, malicious
hranu	795	744	food
šteta	796	748	damage, harm
išta	797	948	any
postati	798	923	to become, turn, get
kojim	799	750	which, what
dokaz	800	819	proof, evidence
tražiti	801	1225	to seek, look for, search
rođendan	802	784	birthday
rad	803	793	willing
nemate	804	785	not to have
kvragu	805	1950	damn, dammit
znak	806	772	sign
nositi	807	1343	to carry, bring
vodu	808	740	water
niko	810	202	no one, nobody
misliti	811	1160	to think
usta	812	767	mouth
smeta	813	776	to mind, care about
stigao	814	715	to arrive, reach
rukama	816	790	arm
poslati	817	1076	to send
muškarac	818	816	male, man
završio	819	764	to end, end up, wind up
društvo	820	727	society
srediti	821	1115	to arrange, settle, put in order
naši	822	820	our, ours
upoznati	823	1200	to familiarize, get to know, get acquainted with
ključ	824	844	key
trenutno	825	704	currently
zvati	826	1059	to call, to be called
bitno	827	732	essentially, in essence
osam	828	801	eight
trenutku	829	824	moment
budu	830	610	to be, to exist
soba	831	773	room
pogled	832	812	view
zakon	833	868	law, rule
čast	834	799	honour
pogledati	835	1458	to look, glance, cast an eye upon
iznad	836	805	above, over
kapetan	837	822	captain
otkad	838	984	since, ever since
koristiti	839	1328	to use, utilize
agent	840	908	agent
budemo	841	613	first-person plural present of bȉti
pismo	842	769	alphabet
odem	843	564	to leave, part, depart
ostatak	844	922	remainder, rest
išao	845	811	to go, walk
zaboraviti	846	1049	to forget
izbor	847	837	choice
proći	848	1055	to pass, go
mozak	849	825	brain
zemlja	850	782	earth
počinje	851	789	to begin, start, commence
nastaviti	852	1215	to continue
svejedno	854	978	all the same
kladim	855	803	to bet, wager
zadržati	857	1375	to keep, retain, withhold
knjigu	858	821	book
biće	859	308	to be, to exist
auta	860	1018	car, automobile
drugačije	861	726	differently
gledao	862	839	to watch, look, see
objasniti	863	1331	to explain
svaka	864	809	brother-in-law
njihov	865	865	their, theirs
novo	866	815	new
božić	867	855	god, deity
glupo	868	843	stupid, foolish
većina	869	889	majority, most
zoveš	870	742	to call, to be called
seks	871	777	sex
ludo	872	910	crazily, insanely
napokon	873	1272	finally, at last
cure	874	1443	girl
kakvo	875	781	what kind of
prokletstvo	876	780	curse
loša	877	851	bad, malicious
moć	878	845	power
zovu	879	840	to call, to be called
onu	880	807	feminine accusative singular of ònāj
naučiti	882	1317	to teach, train, instruct
uđi	883	830	to enter, go into, come in
slika	884	808	picture, image
okolo	885	832	around
nemaju	886	852	not to have
budite	887	854	to be, to exist
nekad	890	696	once, in former times
budućnost	891	870	future
pozdrav	892	1313	greeting, salutation
nad	893	896	over, above
definitivno	895	862	definitely
autu	896	1270	car, automobile
slobodno	897	842	freely
početak	899	916	beginning
izvinite	900	287	sorry!
pošto	901	556	after
sasvim	902	688	completely, entirely, wholly
govore	903	967	speech
ionako	905	921	anyway, anyhow
pivo	906	836	beer
ovuda	907	831	this way, in this direction
krenuti	908	1449	to move, set in motion
žrtva	909	997	sacrifice
bol	910	887	pain, aching
dvojica	911	863	two men
ajde	912	749	alternative form of hàjde
luda	913	835	madman, insane person
dogovor	914	894	agreement, deal
slažem	915	890	to lie
ručak	916	871	lunch, dinner, usually the main meal of the day
uništiti	917	1389	to destroy, annihilate
nekom	918	763	dative of nȅtko / nȅko
zanimljivo	919	1030	interestingly
račun	920	913	calculus
sav	921	841	all, complete, whole
gotov	923	961	ready, prepared
duboko	924	935	deeply
korak	925	931	step
gđa	926	1134	Mrs
prijateljica	928	1040	friend
njegovom	929	853	his
pao	930	946	active past participle of pȁsti
pogrešno	931	752	wrongly, erroneously
odjednom	932	888	suddenly, unexpectedly, at once
došlo	933	925	to come, arrive
voda	934	846	water
knjige	935	874	book
trag	938	1028	trace
pokaži	939	879	to show, demonstrate
miči	940	1619	to move
rata	941	900	war
stanju	942	857	condition, state
apsolutno	943	867	absolutely
stoji	945	901	third-person singular present of stàjati
rado	946	1106	gladly, happily
odgovara	947	941	third-person singular present of odgovárati
stigli	948	813	masculine plural past active participle of stignuti pf
zovi	949	810	to call, to be called
boriti	950	1494	to fight, struggle
ulazi	951	858	entrance
šališ	953	958	to joke; to joke around
glava	954	886	head
idete	955	828	to go, walk
kuda	956	708	which way, in what direction
slušati	957	1715	to listen
slučajno	958	934	accidentally
zabava	959	1057	fun, amusement
kola	960	474	cart, wagon, vehicle
nogu	961	942	leg
hrane	962	903	food
supruga	963	1216	wife, female spouse
beba	964	829	baby
pomaže	965	995	third-person singular present indicative of pomagati impf
jebote	966	859	fuck, holy shit, for fuck's sake
napisao	967	955	to write
svako	968	603	everyone, everybody
nažalost	969	1084	unfortunately
nađemo	970	747	to find, discover
knjiga	971	924	book
kreni	972	902	to move, set in motion
pun	973	904	full, filled
ostao	974	914	to stay, remain
duh	975	911	ghost, spirit
putem	976	962	by means of, by way of, through
m	977	1031	masculine gender
lica	978	968	face
trebati	979	1104	to be needed, to be required
ista	980	938	same
tv	981	898	TV
pomalo	983	897	a little bit
igru	984	940	play
