rank	word	english
613	mødes	meeting
614	sove	to sleep
615	ønske	wish
616	idiot	an idiot, imbecile, fool
617	fald	to fall
618	tøj	fabric, material
619	bo	estate
620	mangler	to lack
621	hva	misspelling of hvad
622	kaffe	coffee
623	sidde	to sit
624	godmorgen	good morning
625	nede	down
626	røven	bum, arse, ass
627	lykke	happiness
628	millioner	a million
629	givet	undoubtedly
630	derinde	in there
631	jamen	but
632	dum	stupid, dense, dumb, thick, dim
633	syg	sick, ill
634	søde	sweet
635	rart	pleasant
636	mindste	small, little, slight
637	husk	to remember
638	kæmpe	gigantic, colossal
639	hænder	hand
640	mærke	mark, sign, label, tag
641	rette	straight
642	svin	hog, pig, swine
643	lod	let
644	film	a movie, a film, motion picture
645	desværre	regrettably, unfortunately
646	krig	war
647	tal	to make a speech
648	skrive	to write
649	forhold	relation
650	skade	damage, harm
651	herre	very
652	fængsel	prison
653	spurgte	to ask, inquire
654	syv	seven
655	større	large
656	familien	family
657	godnat	good night
658	skyde	to shoot
659	lig	to lie
660	øjnene	eye
661	spiser	food
662	følge	to follow
663	følger	to follow
664	goddag	good day
665	hund	dog
666	herrer	gentleman
667	vinder	reel
668	træk	to pull, drag, haul, tow
669	anderledes	differently
670	kamp	battle, struggle
671	uanset	notwithstanding, whatever
672	blot	only, merely
673	gider	to be bothered
674	sendte	to send
675	drikke	a drink, beverage
676	travlt	busy
677	vild	wild
678	afsted	alternative form of af sted
679	fest	party
680	tillykke	congratulations
681	venstre	left
682	passe	to look after
683	betaler	to pay
684	læse	to read
685	kør	to drive
686	dollar	a dollar
687	skød	to shoot
688	brugte	to use
689	vred	angry
690	stole	chair
691	skole	school
692	højt	loudly
693	højre	right
694	bekymret	to worry
695	tjeneste	duty, service
696	tja	Expression of contemplation
697	hertil	here; to here
698	utroligt	incredible, unbelievable
699	straks	at once, immediately, straight away, right away, instantly
700	onkel	uncle
701	åbne	open
702	råd	council
703	kørte	to drive
704	telefon	telephone
705	skudt	to shoot
706	fru	Mrs
707	knægt	boy, lad
708	største	large
709	løbe	to run
710	otte	eight
711	skolen	school
712	sende	to send
713	hår	hair
714	forklare	to explain
715	dejligt	delightful
716	kontor	office
717	sendt	to send
718	javel	yes, yessir, affirmative
719	eget	own
720	vejret	weather
721	tingene	thing
722	damer	lady, woman
723	pigen	girl
724	ung	young
725	billede	picture, image
726	lede	disgusting, odious, loathsome
727	pistol	handgun, pistol
728	børnene	child
729	mord	murder
730	menneske	human, human being, man
731	fandens	devil, Satan
732	spor	spur
733	dele	part, portion
734	ende	end
735	bog	book
736	mødte	to meet, encounter
737	hvide	white
738	mødt	to meet, encounter
739	kigger	to look
740	ægte	true, right, real
741	vinde	reel
742	doktor	doctor
743	mistet	to lose
744	dyr	animal, beast
745	indenfor	inside
746	sover	to sleep
747	stopper	to stop, halt
748	glemt	to forget
749	læge	lay
750	skyder	to shoot
751	bord	table, desk
752	bedst	good
753	røv	bum, arse, ass
754	elske	to love
755	faldt	to fall
756	lys	light, bright
