rank	word	english
382	læt	to put
383	reyndu	to try, attempt
384	búa	to reside, to live
385	sækja	to fetch
386	tækifæri	opportunity, chance
387	mínar	my, mine
388	örugglega	securely
389	konur	a woman
390	mistök	mistake
391	líta	look
392	sjö	seven
393	nokkur	some
394	talar	to talk
395	skipti	a change, an exchange
396	þess	it
397	sko	used when giving an explanation, you see, see here, so, now
398	gekk	to walk
399	standa	to stand, to be standing
400	nálægt	near
401	falleg	beautiful, pretty, pulchritudinous
402	margt	many, a lot of
403	vá	danger
404	líttu	look
405	samband	connection, relation, rapport
406	farinn	to go, to leave
407	almáttugur	almighty, omnipotent
408	sæti	seat, a place to sit
409	augnablik	blink of an eye, moment, second, jiffy
410	minna	memory
411	númer	number
412	lofa	to promise
413	ungfrú	miss, young lady
414	varla	hardly, barely, just
415	kaupa	to buy
416	tökum	taking, capture
417	vandamál	problem
418	þín	you, thou
419	gær	yesterday
420	mat	food
421	berjast	to fight, to brawl, to quarrell
422	einhvers	someone/something, some
423	bænum	farm
424	missa	to lose
425	þinn	your
426	önnur	other, another, another one
427	senda	to send
428	herrar	lord, master
429	sitt	third-person reflexive possessive determiner: his, her,…
430	vinstri	left
431	hitt	to meet
432	vinnu	a job, an occupation, an employment
433	framan	on the front side
434	áhuga	interest
435	lesa	to read
436	leika	to play
437	þessi	this, that
438	hægri	right
439	datt	to fall
440	bíl	car
441	læknir	medical practitioner, doctor, MD
442	nokkra	some
443	haft	hobble
444	spila	to play
445	einhverju	someone/something, some
446	munu	will, shall
447	hjarta	heart
448	dagur	a day
449	konar	kind, type
450	ást	love
451	trúa	to believe
452	herbergi	room, apartment
453	frændi	an uncle
454	hendur	hand
455	innan	inside, on the inside, within
456	hinum	other, the other, the other one, the next; that
457	drekka	to drink
458	húsinu	house
459	starf	work, job
460	hús	house
461	þær	they, nominative plural of the word hún
462	stelpa	girl
463	finnur	a Sami
464	fangelsi	prison
465	færi	to go, to leave
466	heiminum	world
467	fari	to go, to leave
468	verð	value
469	ofan	from above, down
470	leggja	to lay, to put
471	stelpur	girl
472	alvara	earnestness, seriousness
473	rétta	to straighten
474	hrifinn	infatuated
475	eini	juniper
476	krakkar	kid, child
477	allra	everybody, everyone, all
478	vatn	water
479	tveimur	two
480	kynnast	to introduce oneself
481	nákvæmlega	exactly
482	enda	"which is natural, since ..."
483	hata	to hate
484	sinnum	times, by
485	lifandi	alive, living
486	sleppa	to escape, get away
487	systir	sister
488	svara	answer, reply
489	skaltu	you shall, shall you
490	stund	an undetermined amount of time, a while
491	velkomin	welcome
492	drengur	boy
493	skipta	to divide, to partition, to cleave
494	opna	opening
495	læra	to learn, to study
496	afar	very, immensely, ever so, highly, most
497	eg	I
498	gamall	old
499	nokkrum	some
500	níu	nine
501	drottinn	lord, master, ruler
502	bak	back
503	lögreglan	police
504	dáinn	to die
505	dansa	to dance
506	mikil	large in quantity or number
507	þakka	to thank
508	næ	to reach
509	nafni	name
510	míns	my, mine
511	niður	down, downwards
512	gleyma	to forget
513	einhverjum	someone/something, some
514	kaffi	coffee
515	systur	sister
516	mark	sign, mark
517	gaur	a loud, unruly boy
518	sömu	same
519	neinn	no one, nobody, nothing
520	ber	bare
521	mikill	large in quantity or number
522	bera	to carry, to bear
523	sakna	to miss, to long for
524	ári	year
525	leyfi	leave, permission, consent, authorisation
526	ansi	pretty, pretty darn, rather, quite
527	mikið	much, a lot
528	sannarlega	truly, verily
529	snúa	to turn
530	sjálf	self, ego
531	heimi	world
532	einum	one
533	né	nor
534	sögu	a story
535	munum	will, shall
536	komu	arrival
537	hverjir	who, what
538	farið	to go, to leave
539	velkominn	welcome
540	aftan	evening
541	leit	look
542	tíminn	time
543	sín	oneself
544	flytja	to move, to relocate
545	nokkrar	some
546	hin	other, the other, the other one, the next; that
547	guð	God
548	loksins	finally
549	fyrirgefðu	excuse me, sorry
550	vin	oasis
551	góður	good
552	raun	trial, test, experiment
553	megin	used after qualifiers to mean "on X side"; often followed…
554	áætlun	plan, scheme
555	efni	fabric
556	selja	to sell
557	stúlka	girl
558	verk	work, chore
559	hingað	here, into here, to here, hither
560	fylgja	to accompany, follow
561	hönd	hand
562	sumir	some
563	breyta	variable
564	vikur	pumice
