rank	word	english	ipa
399	قسمت	part, portion, section, division	[qes.mǽt̪ʰ]
400	رفتم	to go	[ɹǽf.t̪ʰæm]
401	احتمالا	probably	[ʔeɦ.t̪ʰe.mɒː.lǽn]
402	واقع	reality; fact	[vɒː.ʁeʔ]
403	افتخار	honour	[ʔef.t̪ʰe.xɒ́ːɹ]
404	ببخشید	excuse me	[bé.bæx.ʃiːd̪̥]
405	هزار	thousand	[hæ.zɒ́ːɹ]
406	خراب	ruined, devastated, demolished, destroyed	[xæ.ɹɒ́ːb̥]
407	بودی	to exist	[búː.d̪iː]
408	عزیزم	my darling, my dear	[ʔæ.ziː.zǽm]
409	جک	jack	
410	خداحافظ	goodbye, God be with you	[xo.d̪ɒː.ɦɒː.féz]
411	پا	leg	[pʰɒː]
412	یعنی	means	[jæʔ.niː]
413	هات	hot, sexy	[hɒːt̪ʰ]
414	اوضاع	condition, situation, state	[ʔow.zɒ́ːʔ]
415	آزاد	free	[ʔɒː.zɒ́ːd̪̥]
416	نوشته	writing	[ne.veʃ.t̪ʰe]
417	کردیم	to do	
418	عجله	hurry, haste	[ʔæ.d͡ʒæ.lé]
419	کامل	complete	[kʰɒː.mél̥]
420	بری	exempt, immune, unaffected	[bæ.ɹíː]
421	قابل	qualified; able; competent	[qɒː.bél̥]
422	پرواز	flight	[pʰæɹ.vɒːz]
423	مسخره	clown, buffoon; ridiculous person	[mæs.xæ.ɹé]
424	عمل	action	[ʔæ.mǽl̥]
425	خط	line	[xæt̪ʰt̪ʰ]
426	نام	name	[nɒːm]
427	ماست	contraction of ما + است	[mɒ́ːst̪ʰ]
428	قانون	law	[qɒː.núːn]
429	پادشاه	king, monarch, sovereign	[pʰɒː.d̪e.ʃɒ́ːʰ]
430	امتحان	examination	[ʔem.t̪ʰe.ɦɒ́ːn]
431	فرصت	opportunity, chance	[foɹ.sǽt̪ʰ]
432	روشن	bright, clear	[ɹow.ʃǽn]
433	خطر	danger	[xæ.t̪ʰǽɹ]
434	کشور	country	[kʰʲeʃ.vǽɹ]
435	نیستم	negative form of هستم	[ˈniːst̪ʰæm]
436	سعی	try, attempt	[sæʔj]
437	سوار	horseman, rider	[sæ.vɒ́ːɹ]
438	دستور	command, order	[d̪æs.t̪ʰuːɹ]
439	قلب	heart	[qælb̥]
440	آخه	because, but, after all, in conclusion	[ɒ́ː.xe]
441	شام	dinner, supper	[ʃɒːm]
442	اس	Transliteration of the name of the Latin-script letter s in…	
443	بدست	span	[be.d̪æst̪ʰ]
444	لذت	pleasure	[lez.zǽt̪ʰ]
445	اند	to exist	[ʔæn̪d̪̥]
446	تلاش	effort	[t̪ʰæ.lɒ́ːʃ]
447	میده	fine wheat flour; sifted flour	[mej.d̪é]
448	برگرد	to return, to come back	
449	شرمنده	ashamed	[ʃæɹ.mæn̪.d̪é]
450	همراه	along with, together with	[hæm.ɹɒ́ːʰ]
451	فشار	pressure	[fe.ʃɒːɹ]
452	گزارش	report	[ɡ̥o.zɒː.ɹeʃ]
453	ترجمه	translation	[t̪ʰæɹ.d͡ʒo.me]
454	حاضر	now, presently, currently	[hɒː.zeɹ]
455	خبره	expert	[xeb.ɹe]
456	انتظار	wait, waiting	[ʔen̪.t̪ʰe.zɒ́ːɹ]
457	بین	between	[bejn]
458	حدس	guess, assumption, estimate	[hæd̪s]
459	ببینم	to see, to look	
460	تنگ	narrow, strait	[t̪ʰæɲɡʲ̥]
461	ان	Transliteration of the name of the Latin-script letter n in…	[ʔæn]
462	ناراحت	upset	[nɒː.ɹɒː.ɦǽt̪ʰ]
463	مامور	alternative form of مأمور	
464	معامله	transaction; dealing; commercial exchange	[mo.ʔɒː.me.lé]
465	کلمه	word	[kʰʲæ.le.mé]
466	دم	tail	[d̪om]
467	گفتی	to say	
468	حل	solving; resolution	[hæl̥]
469	روح	spirit	[ɹuːʱ]
470	برنده	to bear; to carry; to take	[bæ.ɹæn̪.d̪é]
471	نفس	breath	[næ.fǽs]
472	ببر	tiger	[bæbɹ]
473	کند	to do	[kʰon̪d̪̥]
474	سفر	travel	[sæ.fǽɹ]
475	آتش	fire	[ʔɒː.t̪ʰǽʃ]
