rank	word	english	ipa
294	nakon	after	/nǎkon/
295	teško	heavily	/têːʃko/
296	mogli	can, to be able to	/ˈmoɡlɪ/
297	svaki	every, each	/sʋâkiː/
298	nama	to us	/nâma/
299	prvo	that which is the first	/ˈprvo/
300	protiv	against	/prôtiʋ/
301	čuo	to hear	/ˈtʃuo/
302	mali	small	/ˈmalɪ/
303	vama	to you	/ʋâma/
304	prije	before, earlier	/prîje/
305	kasnije	later on, afterwards	/kǎsnijeː/
306	niste	to be, to exist	/nǐːste/
307	minuta	minute	/minǔːta/
308	biće	to be, to exist	/bǐːt͡ɕe/
309	unutra	inside, indoors, in	/ǔnuːtra/
310	pravi	pure, true, genuine	/prâːʋiː/
311	sto	hundred	/stôː/
312	momci	a young man, lad	/ˈmomtsɪ/
313	majka	mother	/mâːjka/
314	ovom	this, this one	/ˈovom/
315	osim	except, besides	/ôsiːm/
316	imala	to have, possess, own	/ˈimɐlɐ/
317	ćao	hi!	/t͡ɕâːo/
318	sviđa	to like, please	/ˈsvidʑɐ/
319	pomoć	help	/pômoːt͡ɕ/
320	ideš	to go, walk	/ˈidɛʃ/
321	dve	two	/dʋêː/
322	mislite	to think	/ˈmislɪtɛ/
323	kuće	house	/ˈkutɕɛ/
324	imaju	to have, possess, own	/ˈimɑjʊ/
325	pusti	to let, let go, release	/ˈpustɪ/
326	preko	over	/prêko/
327	doći	to come, arrive	/dôːt͡ɕi/
328	želite	to wish, desire	/ˈʒɛlɪtɛ/
329	one	they; nonvirile third-person plural pronoun, used for all…	/ǒne/
330	verovatno	probably	/ʋêroʋaːtno/
331	dakle	so, thus, therefore	/dâkleː/
332	istina	truth	/îstina/
333	ljude	people, men	/ˈʎudɛ/
334	kakav	what kind of	/kǎkaːʋ/
335	budeš	to be, to exist	/ˈbudɛʃ/
336	njegov	his	/ɲěɡoʋ/
337	tačno	exactly, correctly	/tât͡ʃno/
338	naći	to find, discover	/nǎːt͡ɕi/
339	budi	second-person singular imperative of bȉti	/ˈbudɪ/
340	misli	to think	/ˈmislɪ/
341	zove	to call, to be called	/zǒʋe/
342	auto	car, automobile	/ǎuto/
343	imali	to have, possess, own	/ˈimɐlɪ/
344	čini	third-person present singular of čìniti	/ˈtʃinɪ/
345	uvijek	always	/ûʋjeːk/
346	radio	to work	/râːdio/
347	ići	to go, walk	/ǐt͡ɕi/
348	dete	child, kid	/ˈdɛtɛ/
349	rekli	to say	/ˈrɛklɪ/
350	onaj	that, that one	/ˈonɑj/
351	deo	part	/dêo/
352	broj	number	/brôːj/
353	nju	her	/ɲûː/
354	otišao	to leave, part, depart	/ˈotɪˌʃɐo/
355	ruke	arm	/ˈrukɛ/
356	dole	down	/dôle/
357	imati	to have, possess, own	/ǐmati/
358	uz	up, upward	/uz/
359	pet	five	/pêːt/
360	zapravo	in fact, really, actually	/zâpraʋo/
361	vezi	connection, link	/ˈvɛzɪ/
362	sebi	to myself	/sêbi/
363	života	life	/ˈʒivotɐ/
364	mrtav	dead, deceased	/mřtaʋ/
365	priča	story, tale	/prîːt͡ʃa/
366	veze	connection, link	/ˈvɛzɛ/
367	nekog	genitive of nȅtko / nȅko	/nêkoɡ/
368	bismo	first-person plural aorist of bȉti	/ˈbismo/
369	svog	one's own	/ˈsvoɡ/
370	ipak	still, however, but, yet, anyway, nevertheless,…	/îpaːk/
371	bar	at least	/bâːr/
372	novi	new	/ˈnovɪ/
373	videla	to see	/ˈvidɛlɐ/
374	posla	job	/ˈposlɐ/
375	tip	type	/tîːp/
376	svojim	one's own	/ˈsvojɪm/
377	prijatelj	friend	/prîjateʎ/
378	vrijeme	time	/ʋrjěːme/
379	vidite	second-person plural present	/ˈvidɪtɛ/
380	dobio	to receive, get, obtain, acquire	/ˈdobɪo/
381	iza	behind	/iza/
382	sama	self	/ˈsamɐ/
383	žene	genitive singular	/ˈʒɛnɛ/
384	znala	to know	/ˈznalɐ/
385	odlično	excellently, terrifically	/ôdlit͡ʃno/
386	skoro	soon	/skǒro/
387	sin	son	/sîːn/
388	njima	to them	/ɲîma/
389	govori	speech	/ˈɡovorɪ/
390	vratiti	to return, come back	/ʋrǎːtiti/
391	pitanje	question	/pǐːtaːɲe/
392	nazad	back, backwards	/nâzaːd/
393	voli	to love	/ˈvolɪ/
394	došli	to come, arrive	/ˈdoʃlɪ/
395	srce	a heart	/sr̩̂t͡se/
396	važno	importantly	/ʋâːʒno/
397	njom	her	/ɲôːm/
398	njemu	to him	/ɲêmu/
399	pitam	to ask	/ˈpitɐm/
400	takođe	also, too	/takǒːd͡ʑe/
401	radimo	to work	/ˈradɪmo/
402	jutro	morning	/jûtro/
403	najbolje	superlative degree of dòbro	/nâːjboʎe/
404	oca	father	/ˈotsɐ/
405	uskoro	soon	/ûskoro/
406	sjajno	great, magnificently, excellently	/sjâːjno/
407	nekoga	genitive of nȅtko / nȅko	/nêkoɡa/
408	jednostavno	simply	/jêdnostaːʋno/
409	gotovo	almost, hardly	/ɡǒtoʋo/
410	čega	of what	/t͡ʃěɡa/
411	trenutak	moment	/trenǔːtak/
412	potpuno	completely, entirely, wholly	/pǒtpuno/
413	drži	to hold, grasp	/ˈdrʒi/
414	tada	then, at that time	/tǎdaː/
415	ovoga	filled pause; er, uh, um	/ǒʋoɡaː/
416	uopšte	generally, in general	/ǔopʃte/
417	dobiti	to receive, get, obtain, acquire	/dǒbiti/
418	briga	worry, concern	/brîɡa/
419	otići	to leave, part, depart	/otǐːt͡ɕi/
420	brini	to worry	/ˈbrinɪ/
421	ranije	early	/ˈranɪje/
422	ju	her	/ju/
423	stalno	continuously	/stâːlno/
424	došla	feminine singular active past participle	/dǒʃla/
425	bog	god, deity	/bôːɡ/
426	našao	to find, discover	/ˈnaʃɐo/
427	ponekad	sometimes	/pǒnekad/
428	strane	side	/ˈstranɛ/
429	ljubav	love, affection	/ʎǔːbaʋ/
430	moći	can, to be able to	/môt͡ɕi/
431	nemaš	not to have	/ˈnɛmɐʃ/
432	kuću	house	/ˈkutɕʊ/
433	tek	only, only just, hardly, barely	/têk/
434	valjda	probably, likely	/ʋǎʎda/
435	noći	night, nighttime	/ˈnotɕɪ/
436	halo	hello	/ˈxalo/
437	spreman	ready, prepared	/sprêman/
438	životu	life	/ˈʒivotʊ/
439	poput	like, as, such as	/pôpuːt/
440	lako	easily	/lâko/
441	devojka	girl, maiden	/děʋoːjka/
442	između	between	/îzmed͡ʑu/
443	morao	to have to; must	/ˈmorɐo/
444	jedini	sole, only	/jědiːniː/
445	ideja	idea	/iděːja/
446	ženu	woman	/ˈʒɛnʊ/
447	znati	to know	/znâti/
448	ozbiljno	seriously	/ôzbiːʎno/
449	čudno	oddly, weirdly, strangely	/t͡ʃûdno/
450	nećemo	to wish, want, desire	/nêːt͡ɕeːmo/
451	pola	half	/pǒːla/
452	sat	clock, watch	/sâːt/
453	videti	to see	/ʋîdeti/
454	ubiti	to kill, murder	/ǔbiti/
455	svet	holy, saint	/sʋêːt/
456	prava	pure, true, genuine	/ˈpravɐ/
457	oči	eye	/ˈotʃɪ/
458	živi	live, alive	/ˈʒivɪ/
459	grad	city, town	/ɡrâːd/
460	mala	small	/ˈmalɐ/
461	pored	beside, next to, alongside	/pôred/
462	radite	to work	/ˈradɪtɛ/
463	draga	bay, gulf	/drâɡa/
464	pred	before, just before, shortly before	/prêd/
465	rade	to work	/ˈradɛ/
466	kraj	near, next to, beside	/krâːj/
467	velika	big, large	/ˈvɛlɪkɐ/
468	biste	genitive singular	/ˈbistɛ/
469	jasno	clearly, obviously	/jâsno/
470	slučaj	case, occurrence, event, incident	/slût͡ʃaːj/
471	ovoj	wrapping, shell, casing, covering	/ǒʋoj/
472	svih	all, complete, whole	/ˈsvih/
473	kažu	to say, to state	/ˈkaʒʊ/
474	kola	cart, wagon, vehicle	/kôla/
475	najbolji	good	/ˈnɑjboʎɪ/
476	voliš	to love	/ˈvolɪʃ/
477	brat	brother	/brât/
478	pazi	to beware, watch out, be careful	/ˈpazɪ/
479	svetu	holy, saint	/ˈsvɛtʊ/
480	ikada	ever, at any time	/îkada/
481	sata	clock, watch	/ˈsatɐ/
482	oprosti	sorry!	/ˈoprostɪ/
483	stari	old	/ˈstɑrɪ/
484	e	hey	/ˈɛ/
485	ljudima	people, men	/ˈʎudɪmɐ/
486	nemamo	not to have	/ˈnɛmɐmo/
487	osoba	person	/ôsoba/
488	čujem	to hear	/ˈtʃujem/
489	polako	slowly	/polǎːko/
490	ruku	arm	/ˈrukʊ/
491	negde	somewhere	/nêɡde/
492	učiniti	to do, make	/ut͡ʃǐniti/
493	dvoje	two	/dʋôje/
494	blizu	near, close	/blǐːzu/
495	kraju	end, ending	/ˈkrɑjʊ/
496	četiri	four	/t͡ʃětri/
497	odakle	whence, from where	/ôdaːkle/
498	prilično	rather, pretty, quite, fairly	/prǐːlit͡ʃno/
499	vratio	to return, come back	/ˈvratɪo/
500	van	except	/ʋân/
501	svega	masculine genitive singular	/ˈsvɛɡɐ/
502	ceo	whole	/t͡sêo/
503	moguće	possibly	/môɡuːt͡ɕe/
504	svom	one's own	/ˈsvom/
505	dati	to give	/dâti/
506	laku	easy	/ˈlakʊ/
507	lice	face	/lǐːt͡se/
508	smrt	death	/smr̩̂t/
509	videli	to see	/ˈvidɛlɪ/
510	neku	some	/ˈnɛkʊ/
511	vodi	water	/ˈvodɪ/
512	raditi	to work	/rǎːditi/
513	plan	plan	/plâːn/
514	policija	police	/polǐt͡sija/
515	sina	shadow; shade	/ˈsinɐ/
516	pojma	concept, idea, notion	/ˈpojmɐ/
517	šanse	chance, opportunity	/ˈʃansɛ/
518	sobu	room	/ˈsobʊ/
519	no	but, however	/no/
520	manje	less	/maɲe/
521	nje	of her	/ɲêː/
522	brod	ship	/brôːd/
523	daleko	far	/dalěko/
524	novca	money	/ˈnoftsɐ/
525	žele	jelly	/ʒěleː/
526	netko	someone, somebody	/nêtko/
527	ostati	to stay, remain	/ǒstati/
528	vidjeti	to see	/ʋîdjeti/
529	sinoć	last night, yesterday night; yesterday evening	/sînoːt͡ɕ/
530	oprostite	sorry!	/oprǒstite/
531	svima	everyone, everybody	/ˈsvimɐ/
532	reč	word	/rêːt͡ʃ/
533	momak	a young man, lad	/mǒmak/
534	čula	to hear	/ˈtʃulɐ/
535	našli	to find, discover	/ˈnaʃlɪ/
536	važi	to weigh	/ˈvaʒɪ/
537	bile	moreover, even	/bǐle/
538	razlog	reason, cause	/rǎːzloɡ/
539	dečko	boy	/dêt͡ʃko/
540	vidio	to see	/ˈvidɪo/
541	napolje	outside	/nâpoʎe/
542	oružje	weapon	/ǒruːʒje/
543	njen	her, hers	/ɲêːn/
544	dragi	dear	/ˈdraɡɪ/
545	šest	six	/ʃêːst/
546	sobi	room	/ˈsobɪ/
547	dođe	to come, arrive	/ˈdodʑɛ/
548	otišla	to leave, part, depart	/ˈotɪʃlɐ/
549	pištolj	pistol, handgun	/ˈpiʃtoʎ/
550	ispod	below, under, beneath	/îspod/
551	čim	the, as	/t͡ʃim/
552	napravio	to do, commit	/ˈnaprɐˌvɪo/
553	nekako	somehow	/nêkaːko/
554	vode	water	/ˈvodɛ/
555	kome	to whom	/kǒme/
