rank	word	english
399	gått	to walk
400	mellan	between
401	nära	near, close
402	ifrån	from
403	hus	a house
404	vore	to occupy a place, to be
405	igenom	through
406	fler	more and most
407	s	page; abbreviation of sida
408	kände	to feel, to sense
409	vilka	which, who, whom, what a; plural form of vilken
410	dotter	a daughter
411	bryr	to concern, to bother
412	dagar	a day
413	kille	a boy
414	tänka	to think in one's head
415	bor	a dwelling, especially a bird's nest
416	fattar	to grasp, take; the concrete meaning of grasp
417	gärna	gladly, happily, with keenness, willingly/readily
418	fanns	to exist; to be
419	ber	to ask for, request someone else to do something
420	började	to begin; to start
421	killen	a boy
422	sitter	to sit
423	slå	to hit, punch or beat; to give a blow
424	ännu	thus far, yet
425	tio	ten
426	trevligt	nicely, pleasantly
427	vilja	will; a person’s intent, volition, decision
428	gott	well, good
429	spela	to play; a game, a tune, a melody, an instrument or a role
430	bäst	good
431	chans	a chance
432	gånger	times
433	varandra	each other, one another
434	timmar	an hour
435	lever	to live, to be alive
436	pengarna	a coin
437	äta	to eat
438	handlar	to shop, buy
439	natt	night
440	rum	a room
441	klara	ready, finished, done
442	mor	mother
443	gamla	old
444	ord	a word
445	ihåg	only used in komma ihåg and ihågkomma
446	reda	ready
447	ringa	small, little
448	mannen	man
449	ert	you
450	dags	time
451	bakom	behind
452	eftersom	because, since, as
453	gammal	old
454	jobbet	job; a task
455	dörren	a door
456	fara	to go, to travel
457	känna	to feel, to sense
458	dessa	this, that
459	all	all
460	dör	to die
461	sån	eye dialect spelling of sådan
462	par	a pair, a couple
463	bad	to ask for, request someone else to do something
464	hjälper	to help; give aid or assistance to
465	alls	at all
466	tyst	quietly; causing little or no sound
467	egen	own, of my own
468	kommit	to come
469	ringde	to ring; to make a bell produce a sound
470	dagen	a day
471	klar	ready, finished, done
472	galen	crazy, mad, insane
473	stan	alternative form of staden
474	leva	to live, to be alive
475	syster	a sister
476	oroa	to worry
477	mat	food
478	vapen	weapon
479	ring	to ring; to make a bell produce a sound
480	skull	sake
481	idé	an idea
482	stället	a stand
483	antar	to assume, to suppose
484	tagit	take; to grab and move to oneself
485	vadå	what?
486	sätta	to sit; to move oneself into a sitting position
487	stå	stand; be in an upright position
488	jaså	Expression of mild surprise; oh, really
489	berättade	to tell
490	ganska	pretty, quite, rather
491	följer	to follow; to go after
492	klockan	clock, watch; an instrument used to measure or keep track…
493	tidigare	early
494	hittat	to find
495	följa	to follow; to go after
