rank	word	english
542	reč	thing
543	knjiga	book
544	reši	second-person singular imperative of rešīti
545	vojska	army
546	ujel	masculine singular l-participle of ujẹ́ti
547	zgodaj	early
548	poln	full
549	e	Used to express uneasyness
550	čakati	to wait
551	dovoljenje	verbal noun of dovoliti
552	popoln	perfect
553	glava	head
554	cerkev	church
555	luč	light
556	roka	hand, arm
557	žensk	female, woman
558	priznati	to admit
559	ključe	key
560	sodnik	judge
561	pravilno	correctly
562	kdor	who, that
563	pekel	hell
564	cilj	goal, purpose
565	misliti	to think
566	začeti	to begin, to start
567	las	hair on top of head
568	upanje	hope
569	kurba	whore, prostitute
570	bolezen	disease, sickness, illness
571	planet	planet
572	teta	aunt
573	obleka	dress
574	junak	hero
575	oko	eye
576	ujeti	to catch
577	smisel	meaning
578	postati	to become
579	ženski	female, woman
580	priden	diligent, hard-working
581	okus	taste, flavour
582	pete	heel
583	največji	superlative degree of vélik
584	vino	wine
585	ženi	second-person singular imperative of gnáti
586	zapustiti	to leave
587	hočemo	to want
588	usoda	destiny
589	kupiti	to buy
590	petek	Friday
591	glasba	music
592	pozornost	attention
593	imej	to have
594	angel	angel
595	podoben	similar
596	meč	sword
597	stoji	to cost
598	kamen	stone
599	meso	meat
600	past	trap
601	večji	comparative degree of vélik
602	dama	lady
603	zahteva	demand
604	šola	school
605	dolg	long
606	stroj	machine
607	telesa	body
608	utrujen	tired
609	zločin	crime
610	boriti	to fight, struggle
611	vreden	worthy
612	poročen	married
613	zmaga	victory
614	vrsta	queue, line
615	pamet	intelligence, sense
616	hoditi	to walk
617	stranka	party
618	ulice	street
619	laž	lie
620	slabše	comparative degree of slabọ̑
621	tarča	target
622	zvok	sound
623	večerja	dinner
624	največ	superlative degree of velíko; most
625	nehati	to stop
626	učitelj	teacher
627	milijon	million
628	žival	animal
629	izbira	choice
630	trener	coach
631	govor	speech
632	taksi	taxi
633	odnos	relation
634	zemlja	earth, soil
635	zvezda	star
636	tišina	silence
637	končati	to end
638	smeti	to be allowed
639	država	country
640	b	The name of the Latin script letter B / b
641	iskati	to search, to seek
642	zapora	prison
643	preživeti	to survive
644	izgubiti	to lose, to not have anymore
645	smrtjo	death
646	vonj	odor, smell
647	nikjer	nowhere
648	motor	engine
649	kraja	theft
650	bistvo	essence
651	puško	rifle
652	princ	prince
653	bomba	bomb
654	avtobus	bus
655	mrtvih	masculine/feminine/neuter genitive dual
656	otok	island
657	mačka	cat
658	član	member
659	drevo	tree
660	bivši	former
661	lani	last year
662	nevaren	dangerous
663	c	The name of the Latin script letter C / c
664	stotnik	captain
665	nasvidenje	goodbye
666	bar	at least
667	los	elk, moose
668	gej	gay
669	čoln	boat
670	princesa	princess
671	poskusiti	to try, attempt
672	predal	drawer
673	mlad	young
674	smeh	laugh, laughter
675	nebo	sky
676	hudič	devil
677	bitje	being
678	samomor	suicide
679	most	bridge
680	starejši	comparative degree of stàr
681	letala	airplane
682	veter	wind
683	očmi	eye
684	misel	thought
685	kozarec	glass
686	brati	to read
687	konj	horse
688	pištola	pistol
689	zid	wall
690	igralec	actor
691	možgani	brain
692	štirje	four
693	sovražnik	enemy
694	morje	plethora
695	zlomil	masculine singular l-participle of zlomīti
696	držati	to be true
697	skriti	to hide
698	varna	masculine nominative/accusative dual
699	hip	moment
700	letu	year
701	uporabiti	to use
702	nikdar	never
703	veselje	happiness
704	razlika	difference
705	jedla	to eat
706	poroka	wedding
707	vesolje	space, outer space
708	bližje	closer to
709	odpreti	to open, to make open
710	tema	dark, darkness
711	poslati	to send
712	voziti	to drive vehicle
713	rabil	to use
714	zobe	tooth; cog
715	nositi	to carry
716	pogovarjati	to calm by talking
717	pil	genitive plural/dual of píla
718	kolo	wheel
719	število	number
720	genij	genius
721	čist	clean
722	časi	time
723	gozd	forest
724	piti	to drink
725	krog	around
726	pritisk	pressure
727	ameriški	American
728	stol	chair
729	ušesa	ear
730	list	piece of paper
731	varen	safe
732	peti	fifth
733	ponedeljek	Monday
734	led	ice
735	pozabiti	to forget
736	angleško	English
737	srečanje	meeting, encounter
738	prijeten	pleasant
739	pade	third-person singular present of pásti
740	naključje	coincidence
741	duša	soul
742	meje	border, boundary
743	vir	source
744	mojster	master
745	predlog	preposition
746	želja	wish, desire
747	prst	finger
748	očala	glasses, spectacles
749	poceni	cheap
750	zlo	evil
751	izraz	term, expression
752	enota	unit
753	zob	tooth; cog
754	poletje	summer
755	ujela	to catch
756	zmago	victory
757	prost	free
758	strup	poison
759	cena	price
760	urok	spell
761	mleko	milk
762	hkrati	at the same time, simultaneously, concurrently
763	nebesa	heaven
764	lažnivec	liar
765	barva	colour
766	dojenček	baby
767	obdržati	to keep, hold on, retain
768	prah	dust
769	klobuk	hat, cap
770	zemljevid	map
771	pogum	courage
772	one	they
773	župan	head of a municipality
774	luke	harbor; harbour
775	dnevnik	diary
776	spomniti	to remember
777	plašč	coat
778	seksa	sex
779	skril	to hide
780	preklet	damn
781	srednji	central, middle
782	časih	time
783	sladoled	ice cream
784	seznamu	list
785	govora	speech
786	hiter	fast, quick
787	dejanje	action, act
788	grozen	horrible, terrible
789	čarovnica	witch
790	poljub	kiss
791	grob	grave
792	papir	paper
793	razred	class, grade, form
794	časopis	newspaper
795	mejo	border, boundary
796	nočejo	to want
797	bogat	rich, wealthy
798	hitrost	speed; quickness; velocity
799	letalu	airplane
800	telesu	body
801	visok	high
802	deček	boy
803	scenarij	scenario
804	sendvič	sandwich
805	vtis	impression
806	banke	genitive singular of bánka
807	tvegati	to risk, to run the risk of
808	naprava	device, apparatus, gadget, mechanism
809	nečem	to want
810	rojen	past passive participle of rodīti
811	krogla	ball
812	pisarna	office
813	polje	field
814	prositi	to ask, to make a request
815	pisati	to write
816	oziroma	or, and
817	vrh	top
818	vrt	garden
819	polovica	half
820	jebemti	fuck!
821	sok	juice
822	jem	to eat
823	dar	gift
824	kava	coffee
825	bolečina	pain
826	modro	blue
827	banko	accusative singular of bánka
828	torek	Tuesday
829	ček	cheque
830	bojo	third-person plural future of bíti
831	mlajši	comparative degree of mlȃd
832	dogodek	event, occurrence, happening, incident
833	kratek	short in size
834	redko	rarely, uncommonly, infrequently
835	priče	witness
836	kruh	bread
837	bratranec	cousin
838	reki	river
839	tok	current
840	dihati	to breathe
841	znanje	knowledge
842	rezultat	result
843	varni	definite masculine nominative singular
844	starec	old man
845	kino	cinema
846	zdrav	healthy
847	evo	look, see, behold
848	letališče	airport
849	vstopiti	to enter
850	svoboden	free, unrestricted
851	peljati	to drive
852	članek	article
853	dvajset	twenty
854	kapetan	captain
855	jedli	to eat
856	val	wave, undulation
857	vest	conscience
858	vera	belief
859	ulica	street
860	pijača	drink
861	letom	year
862	četrtek	Thursday
863	noga	leg
864	pomočnik	assistant
865	uspeh	success
866	hočeta	to want
867	riba	fish
868	gumb	button
869	prazen	empty
870	zapreti	to close, to shut
871	nasmeh	smile
872	bliže	closer to
873	plesati	to dance
874	pogumen	brave
875	višji	comparative degree of visȍk: higher, taller
876	požar	fire
877	rob	border, edge
878	slediti	to follow
879	morski	sea; marine
880	zgodovina	history
881	narod	nation
882	nočemo	to want
883	časov	time
884	znanost	science
885	uporabljati	to use
886	trebuh	belly
887	človeški	human
888	vreme	weather
889	lagati	to lie
890	potreben	horny
891	sprememba	change, modification, alteration
892	vhod	entrance
893	jej	to eat
894	ponudba	offer
895	nogomet	football, soccer
896	ulico	street
897	ljubosumen	jealous
898	orodje	tool, instrument
899	kraljestvo	kingdom
900	zanimiv	interesting
901	svetloba	light
902	dež	rain
903	strela	lightning
904	zver	beast
905	pravica	right
906	nočete	to want
907	bazen	basin
908	ščiti	shield
