rank	word	english
908	verskil	difference
909	oggend	morning
910	roer	A rifle, a gun
911	titel	title
912	forseer	to force, to coerce
913	leeg	empty
914	paleis	palace
915	duitsers	German
916	beroof	to rob, to steal from
917	wolwe	wolf
918	getuie	witness
919	gekyk	to look
920	skrywer	writer
921	bruid	bride
922	weduwee	widow, surviving wife, dowager
923	skepe	ship
924	duisend	thousand
925	dapper	brave, courageous
926	daad	deed; act
927	risiko	risk
928	streke	prank, trick
929	fabriek	factory
930	jaag	chase, pursue
931	nege	nine
932	drankie	beverage, drink
933	personeel	staff
934	kroon	A crown
935	kaal	naked
936	drome	dream
937	haas	hare, rabbit
938	gelieg	to lie
939	jul	alternative form of julle; your
940	lande	country; nation
941	oktober	October
942	vertaling	translation
943	sneeu	snow
944	donderdag	Thursday
945	neef	nephew
946	eienaar	owner
947	doodgemaak	to kill
948	kamera	camera
949	portret	portrait
950	dokumente	document
951	wolf	wolf
952	koninkryk	kingdom
953	eed	oath
954	kontrak	contract
955	plekke	a spot
956	knieë	knee
957	hoogste	high
958	wysheid	wisdom
959	gesing	to sing
960	veld	A field, open country
961	makeer	to be amiss, to be wrong
962	teiken	aim; target; goal
963	skaak	chess
964	boer	A Boer; an Afrikaner, especially an inhabitant or…
965	vergelyk	to compare
966	geheue	memory
967	skildery	painting
968	snags	at night
969	spook	ghost, phantom
970	ligte	light; not heavy
971	samelewing	society
972	namens	on behalf of
973	olie	oil
974	letters	letter
975	jonger	young
976	stene	stone
977	motor	car, automobile
978	wilde	wild
979	bad	bath
980	kleremaker	tailor
981	byvoorbeeld	for example, for instance
982	ouer	old, aged
983	amerikaanse	American
984	kleur	color; colour
985	iewers	somewhere
986	wors	sausage
987	radio	radio
988	kas	A cupboard
989	geantwoord	to answer
990	bokant	above
991	optree	to act
992	toesig	supervision, oversight
993	navorsing	research
994	hoer	whore
995	swaard	sword
996	pastoor	parish priest
997	fiets	bicycle, bike
998	dier	animal
999	rob	seal
1000	woordeboek	dictionary
1001	afstand	distance
1002	aangekom	arrive
1003	egter	however
1004	oudste	old, aged
1005	lid	member
1006	paaie	path; way; street
1007	stam	tribe
1008	eiland	island
1009	beskerming	protection
1010	kêrels	fellow, lad, chap
1011	gedagtes	thought, idea
1012	buig	to bow; to bend
1013	gevlug	to save oneself, seek refuge
1014	dophou	to keep an eye on, to watch
1015	boom	tree
1016	stink	to stink
1017	leeu	lion
1018	sel	cell
1019	gedagte	thought, idea
1020	vliegtuig	aeroplane, aircraft
1021	daarheen	thither, to there
1022	das	badger
1023	trap	stairs, staircase
1024	masker	mask
1025	wond	wound, injury
1026	sop	soup
1027	klank	sound
1028	sondag	Sunday
