rank	word	english
535	uke	a week
536	foran	ahead, in front
537	våpen	a weapon; arms
538	fast	solid, steady, firm, fixed, permanent
539	an	on
540	lite	little
541	broren	a brother
542	måneder	month
543	landet	country
544	snakk	to speak
545	s	The consonant sound represented by the letter s
546	hvert	each
547	driver	to move; turn
548	tur	a walk
549	tidligere	early
550	kvinner	a woman
551	ønske	a wish
552	prøv	to try
553	bil	a car, automobile
554	valg	election
555	legge	to lay, put, place
556	bror	a brother
557	føles	to feel, be felt
558	vondt	difficult, hard
559	straks	immediately; right away
560	kjøpe	to buy, to purchase
561	gitt	to give
562	stund	a while
563	laget	to make
564	rom	rum
565	tidlig	early
566	begynne	to begin, start
567	idé	idea, theory
568	fly	plane, aeroplane, airplane, aircraft
569	mente	to mean
570	telefonen	a telephone or phone
571	time	an hour
572	tide	time
573	passer	to fit
574	hendene	a hand
575	blod	blood
576	vis	to show
577	perfekt	perfect
578	kjente	well-known
579	sint	angry, cross, mad
580	lære	education
581	rart	strange
582	verre	bad
583	dritt	excrement
584	sove	to sleep
585	betale	to pay
586	svar	to reply, answer
587	svært	very
588	gift	to marry or wed
589	gjelder	to apply, be applicable to
590	ventet	to stay put, to wait, to delay
591	sendte	to send
592	finn	to find
593	lager	to make
594	altså	so, accordingly
595	fengsel	a prison
596	sist	last, lastly
597	unge	young
598	likevel	nevertheless, nonetheless
599	ille	badly
600	uker	a week
601	fortsett	to continue
602	viser	lyrical or epic poem with plain content and plain melody
603	stoppe	to stop
604	klarte	to clear
605	hånd	a hand
606	forteller	to recount, as a story
607	kjærlighet	love
608	aner	guess, sense
609	slutte	to stop, cease, quit; to no longer continue an activity,…
610	lov	to praise
611	nær	close
612	morsomt	funny
613	elsket	to love
614	sender	to send
615	hardt	hard
616	lykke	happiness
617	sitte	to sit
618	middag	noon, midday; the middle of the day, especially around…
619	historie	history
620	skrive	to write
621	beskytte	to protect
622	lyst	light
623	dum	foolish
624	fare	danger
625	spiser	to eat
626	sak	a legal dispute, litigation
627	forstå	to understand
628	reise	journey
629	slo	to beat, punch, hit, strike
630	leter	to look
631	sex	sexual attractiveness or appeal; sex appeal
632	måten	manner, way
633	likte	to like
634	millioner	a million
635	damer	a lady, woman
636	jenter	girl; young woman
637	kjør	To drive
638	fall	to fall
639	spurte	to ask, inquire
640	fortalt	to recount, as a story
641	synd	a sin
642	skikkelig	decently, respectably
643	frem	forward
644	reddet	to rescue, save
645	idiot	an idiot, imbecile, fool
646	brukte	to use
647	herrer	gentleman, man
648	trengte	to press
649	små	small, little
650	følge	to follow
651	følger	consequence, result
652	kaffe	coffee
653	sende	to send
654	pris	price
655	problemet	problem
656	vakker	beautiful
657	foregår	to go on, happen, take place
658	syk	sick, ill
659	skyte	to shoot
660	barnet	child
661	prate	to chat
662	ærlig	honest
663	farlig	dangerous, perilous
664	bruk	to use
665	lot	to let
666	bo	a need
667	drikke	drink
668	svarte	black
669	gratulerer	congrats!, congratulations!
670	land	country
671	større	large, big, great
672	flink	clever, proficient, competent, good
673	gifte	married
674	rette	right
675	legger	lower leg from the knee to the ankle, including the calf…
676	fortsette	to continue
677	avtale	agreement, contract, appointment
