rank	word	english	ipa
201	edasi	forward, ahead	/ˈed̥ɑsi/
202	kõige	the most	/ˈkɤi̯ɡ̊e/
203	suur	large, big	/ˈsuːr/
204	meile	email	/ˈmei̯le/
205	tegema	to do	/ˈteɡ̊emɑ/
206	ütlesin	to say	/ˈytlesin/
207	ette	before, in front of	/ˈetːe/
208	teen	to do	/teːn/
209	ega	nor	/ˈeɡ̊ɑ/
210	inimesed	human being	/ˈinimesed̥/
211	meeldib	to like	/ˈmeːld̥ib̥/
212	nimi	name	/ˈnimi/
213	ühe	one	/ˈyhe/
214	teeb	to do	/teːb̥/
215	kahju	harm, damage	/ˈkɑhju/
216	surnud	dead	/ˈsurnud̥/
217	tegelikult	actually, really	/ˈteɡ̊elikult/
218	koju	home	/ˈkoju/
219	näinud	to see	/ˈnæi̯nud̥/
220	lähen	to go	/ˈlæhen/
221	ilma	free of charge, on the house	/ˈilmɑ/
222	teinud	to do	/ˈtei̯nud̥/
223	sain	to get, to receive	/sɑi̯n/
224	räägi	to talk, to speak	/ˈræːɡ̊i/
225	kuni	up to, to	/ˈkuni/
226	teeme	to do	/ˈteːme/
227	kokku	assembly, council	/ˈkokːu/
228	saanud	to get, to receive	/ˈsɑːnud̥/
229	päris	quite	/ˈpæris/
230	enda	self, own, -self	/ˈend̥ɑ/
231	näed	to see	/næe̯d̥/
232	vist	probably, possibly	/vist/
233	toimub	to happen, to take place, to come about	/ˈtoi̯mub̥/
234	asja	a thing	/ˈɑsjɑ/
235	ennast	self, own, -self	/ˈenˑɑst/
236	viga	mistake, error, fault	/ˈviɡ̊ɑ/
237	arvasin	to believe, to assume, to think	/ˈɑrvɑsin/
238	sama	same	/ˈsɑmɑ/
239	kaasa	with, along	/ˈkɑːsɑ/
240	aastat	a year	/ˈɑːstɑt/
241	läks	to go	/ˈlæks/
242	kord	once, once upon a time, someday	/kord̥/
243	saame	to get, to receive	/ˈsɑːme/
244	naine	woman	/ˈnɑi̯ne/
245	võid	butter	/vˈɤi̯d̥/
246	tahab	to want	/ˈtɑhɑb̥/
247	tähendab	to signify	/ˈtæhend̥ɑb̥/
248	väike	small	/ˈvæi̯ke/
249	härra	sir, mister	/ˈhærːɑ/
250	mingi	some, some kind of	/ˈmiŋɡ̊i/
251	said	to get, to receive	/sɑi̯d̥/
252	sai	to get, to receive	/ˈsɑi̯/
253	kolm	three	/ˈkolm/
254	las	to let, to allow, to permit	/lɑs/
255	mille	what	/ˈmilːe/
256	poleks	alternative form of ei oleks	/ˈpoleks/
257	äkki	suddenly	/ˈækːi/
258	töö	work	/ˈtøː/
259	neile	short form of nemad: they	/nˈei̯le/
260	võib-olla	maybe, perhaps	/vˈɤi̯b̥ˈolːɑ/
261	poiss	boy	/poi̯sː/
262	jälle	again	/ˈjælːe/
263	kallis	expensive	/ˈkɑlʲˑis/
264	ütlesid	to say	/ˈytlesid̥/
265	sõber	friend	/ˈsɤb̥er/
266	suuda	to be able to, can	/ˈsuːd̥ɑ/
267	all	under, below	/ɑlː/
268	kaua	for a long time	/kɑu̯ɑ̯/
269	õige	right	/ˈɤi̯ɡ̊e/
270	aidata	to assist, to help	/ˈɑi̯d̥ɑtɑ/
271	terve	healthy	/ˈterve/
272	kena	nice, kind	/ˈkenɑ/
273	usu	to believe, to have faith in something	/ˈusu/
274	päeva	day	/ˈpæe̯vɑ/
275	kindlasti	certainly, definitely, surely	/ˈkind̥lɑsti/
276	tuli	to come	/ˈtulʲi/
277	armastan	to love	/ˈɑrmɑstɑn/
278	neil	short form of nemad: they	/nˈei̯l/
279	kõike	everyone, everybody	/ˈkɤi̯ke/
280	ehk	Refers to a hypothetical or hoped-for possibility that is…	/ˈehk/
281	tegi	to do	/ˈteɡ̊i/
282	kätte	hand	/ˈkætːe/
283	üldse	generally, in general	/ˈyld̥se/
284	tulla	to come	/ˈtulːɑ/
285	selline	this kind of, such	/ˈselːine/
286	mõned	some	/ˈmɤned̥/
287	ajal	during	/ˈɑjɑl/
288	täpselt	exactly, precisely	/ˈtæpselt/
289	millest	what	/ˈmilːest/
290	ärge	don't, doesn't, not: used in negative forms of…	/ˈærɡ̊e/
291	kuradi	a devil, an evil spirit	/ˈkurɑd̥i/
292	hakkama	to start, begin	/ˈhɑkːɑmɑ/
293	keda	who	/ˈked̥ɑ/
294	tulen	to come	/ˈtulen/
295	tüdruk	girl	/ˈtyd̥ruk/
296	päev	day	/ˈpæe̯v/
297	sellele	this	/ˈselːele/
298	kust	where ... from	/kust/
299	söör	sir	/ˈsøːr/
300	teine	other, another	/ˈtei̯ne/
301	endale	self, own, -self	/ˈend̥ɑle/
302	võtta	to take	/ˈvɤtːɑ/
303	kuna	because	/ˈkunɑ/
304	vana	old	/ˈvɑnɑ/
305	selleks	this	/ˈselːeks/
306	juures	near, beside, at	/ˈjuːres/
307	mingit	some, some kind of	/mˈiŋɡ̊it/
308	tunne	feeling	/ˈtunˑe/
309	viis	five	/ˈviːs/
310	tunnen	to feel	/ˈtunːen/
311	võiks	butter	/vˈɤi̯ks/
312	tahtsin	to want	/ˈtɑhtsin/
313	ilmselt	probably, most likely	/ˈilmselt/
314	kuula	to listen	/ˈkuːlɑ/
315	pidanud	to keep, to hold	/ˈpid̥ɑnud̥/
316	auto	car, automobile	/ˈɑu̯to/
317	raske	heavy	/ˈrɑske/
318	abi	help	/ˈɑb̥i/
319	sel	this	/sel/
320	räägid	to talk, to speak	/ˈræːɡ̊id̥/
321	tööd	work	/tøːd̥/
322	homme	tomorrow	/ˈhomːe/
323	elus	alive	/ˈelus/
324	selge	clear, unmuddled	/ˈselɡ̊e/
325	sellepärast	because	/ˈselːepærɑst/
326	näen	to see	/næe̯n/
327	hiljem	later	/ˈhiljem/
328	alles	yet, not before, still, quite recently, already	/ˈɑlːes/
329	aitab	to assist, to help	/ˈɑi̯tɑb̥/
330	sinust	you	/ˈsinust/
331	milline	which, what	/ˈmilːine/
332	poole	toward	/ˈpoːle/
333	räägin	to talk, to speak	/ˈræːɡ̊in/
334	varem	earlier, sooner	/ˈvɑrem/
335	osa	part	/ˈosɑ/
336	uuesti	again, anew	/ˈuːe̯sti/
337	suurepärane	excellent, great, magnificent, marvellous/marvelous,…	/ˈsuːrepærɑne/
338	teab	to know	/ˈteɑ̯b̥/
339	eriti	especially	/ˈeriti/
340	millal	when	/ˈmilːɑl/
341	järgi	according to	/ˈjærɡ̊i/
342	aasta	a year	/ˈɑːstɑ/
343	ees	before, in front of	/eːs/
344	taga	at the back	/ˈtɑɡ̊ɑ/
345	võimalik	possible	/ˈvɤi̯mɑlik/
346	lähed	to go	/ˈlæhed̥/
347	peal	on, on top of	/peɑ̯l/
348	vahel	between	/ˈvɑhel/
349	jää	to stay, to remain	/ˈjæː/
350	tappa	to kill	/ˈtɑpːɑ/
351	neist	short form of nemad: they	/nˈei̯st/
352	maja	house	/ˈmɑjɑ/
353	esimene	first	/ˈesimene/
354	õhtul	evening	/ˈɤhtul/
355	minust	I	/ˈminust/
356	poolt	from, on	/ˈpoːlt/
357	rääkima	to talk, to speak	/ˈræːkimɑ/
358	parim	good	/ˈpɑrim/
359	väljas	out, outside	/ˈvæljɑs/
360	koht	place, location, spot	/koht/
361	teist	second	/tei̯st/
362	paar	a couple	/pˈɑːr/
363	ainus	only, sole	/ˈɑi̯nus/
364	uus	new	/uːs/
365	vähemalt	at least	/ˈvæhemɑlt/
366	surma	death	/ˈsurmɑ/
367	kell	clock	/kelː/
368	samuti	as well, too	/ˈsɑmuti/
369	poeg	son	/ˈpoe̯ɡ̊/
370	kiiresti	fast, quickly	/ˈkiːresti/
371	sellel	this	/ˈselːel/
372	täiesti	completely	/ˈtæi̯e̯sti/
373	ilus	beautiful, pretty	/ˈilus/
374	tõsi	truth	/ˈtɤsi/
375	ümber	around	/ˈymb̥er/
376	maailma	world	/ˈmɑːi̯lmɑ/
377	loodan	to hope	/ˈloːd̥ɑn/
378	inimesi	human being	/ˈinimesi/
379	leida	to find	/lˈei̯d̥ɑ/
380	oleksin	to be	/ˈoleksin/
381	piisavalt	enough	/ˈpiːsɑvɑlt/
382	pool	at, to, towards	/ˈpoːl/
383	olemas	to be	/ˈolemɑs/
384	võime	ability	/ˈvɤi̯me/
385	lapsed	child, kid	/ˈlɑpsed̥/
386	kelle	who	/ˈkelːe/
387	jääb	to stay, to remain	/jˈæːb̥/
388	peaaegu	almost, nearly	/ˈpeɑ̯ˌɑe̯ɡ̊u/
