rank	word	english	ipa
401	uraditi	to do, make	/urǎːditi/
402	priča	story, tale	/prîːt͡ʃa/
403	halo	hello	/ˈxalo/
404	vidite	second-person plural present	/ˈvidɪtɛ/
405	radimo	to work	/ˈradɪmo/
406	gotovo	almost, hardly	/ɡǒtoʋo/
407	dati	to give	/dâti/
408	briga	worry, concern	/brîɡa/
409	van	except	/ʋân/
410	dio	part	/dîo/
411	žene	genitive singular	/ˈʒɛnɛ/
412	bar	at least	/bâːr/
413	razgovarati	to cheer up sb	/razɡoʋǎːrati/
414	ovoga	filled pause; er, uh, um	/ǒʋoɡaː/
415	njemu	to him	/ɲêmu/
416	sjajno	great, magnificently, excellently	/sjâːjno/
417	posle	later	/ˈposlɛ/
418	najbolje	superlative degree of dòbro	/nâːjboʎe/
419	biće	to be, to exist	/bǐːt͡ɕe/
420	jutro	morning	/jûtro/
421	spreman	ready, prepared	/sprêman/
422	jedini	sole, only	/jědiːniː/
423	strane	side	/ˈstranɛ/
424	došli	to come, arrive	/ˈdoʃlɪ/
425	dvije	two	/dʋîje/
426	drži	to hold, grasp	/ˈdrʒi/
427	mesto	instead of	/mêsto/
428	brini	to worry	/ˈbrinɪ/
429	uskoro	soon	/ûskoro/
430	tačno	exactly, correctly	/tât͡ʃno/
431	dijete	child, kid	/djěːte/
432	nitko	no one, nobody	/nîtko/
433	potpuno	completely, entirely, wholly	/pǒtpuno/
434	dole	down	/dôle/
435	trenutak	moment	/trenǔːtak/
436	stari	old	/ˈstɑrɪ/
437	bog	god, deity	/bôːɡ/
438	oca	father	/ˈotsɐ/
439	mala	small	/ˈmalɐ/
440	tada	then, at that time	/tǎdaː/
441	sat	clock, watch	/sâːt/
442	važno	importantly	/ʋâːʒno/
443	čovek	man, person	/t͡ʃôʋek/
444	pitam	to ask	/ˈpitɐm/
445	ostati	to stay, remain	/ǒstati/
446	stalno	continuously	/stâːlno/
447	rade	to work	/ˈradɛ/
448	ozbiljno	seriously	/ôzbiːʎno/
449	ideja	idea	/iděːja/
450	morao	to have to; must	/ˈmorɐo/
451	vjerujem	to believe, have faith in	/ˈvjerʊjem/
452	tek	only, only just, hardly, barely	/têk/
453	ljubav	love, affection	/ʎǔːbaʋ/
454	ranije	early	/ˈranɪje/
455	grad	city, town	/ɡrâːd/
456	ponekad	sometimes	/pǒnekad/
457	došla	feminine singular active past participle	/dǒʃla/
458	odlično	excellently, terrifically	/ôdlit͡ʃno/
459	bok	side	/bôːk/
460	pola	half	/pǒːla/
461	nemaš	not to have	/ˈnɛmɐʃ/
462	lako	easily	/lâko/
463	napraviti	to do, commit	/naˈpraʋiti/
464	našao	to find, discover	/ˈnaʃɐo/
465	između	between	/îzmed͡ʑu/
466	osoba	person	/ôsoba/
