rank	word	english	ipa
317	nevis	not	/ˈneʋis/
318	tavas	your, yours	/ˈtaʋas/
319	varat	can; to be able to	/ˈʋarat/
320	draugi	friend	/ˈdrauɡi/
321	drīz	soon	/ˈdriːz/
322	abi	both	[abi]
323	priekšā	in front of	/ˈpriekʃaː/
324	pasaulē	world	/ˈpasauleː/
325	runāt	to speak, to talk	/ˈrunaːt/
326	puiši	young man, youth, boy	/ˈpuiʃi/
327	tēti	father, dad	/ˈteːti/
328	ceru	to hope	/ˈt͡særu/
329	laukā	outside, outdoors	/ˈlaukaː/
330	labu	good following accepted moral rules, treating others in a…	/ˈlabu/
331	vīrs	husband	[vīːɾs]
332	visa	all, whole, entire	/ˈʋisa/
333	priekšu	front	/ˈpriekʃu/
334	nemaz	not at all	/neˈmaz/
335	atceries	to remember	/ˈatt͡series/
336	cilvēkiem	person, human being	/ˈt͡sillʋæːkiem/
337	redzēju	to see	/ˈredzeːju/
338	saprotu	to understand	/ˈsapruotu/
339	redzu	to see	/ˈredzu/
340	nāk	to come	/ˈnaːːk/
341	hei	hey	/ˈhei/
342	sapratu	to understand	/ˈsapratu/
343	saproti	to understand	/ˈsapruoti/
344	pasaules	world	/ˈpasaules/
345	divas	two	/ˈdiʋas/
346	atrast	to find	[atɾast]
347	tomēr	still	/ˈtuomeːr/
348	kopš	since	/ˈkuopʃ/
349	pasaki	to say to	/ˈpasaki/
350	atvaino	to accept someone's apology, to excuse, to forgive	/ˈatʋaiːnuo/
351	pāri	over	/ˈpaːri/
352	vajadzēja	to be necessary, to be needed, to be desired	/ˈʋa`ja`dzeːja/
353	grūti	difficult, tough, difficultly, with difficulty; adverbial…	/ˈɡruːti/
354	bērni	child	/ˈbæːrni/
355	nopietni	seriously; adverbial form of nopietns	/ˈnuopietni/
356	nevari	to not be able to; negative form of varēt	/ˈneʋari/
357	jādara	to do	/ˈjaːdara/
358	doties	to give oneself; reflexive of dot	/ˈduoties/
359	patiesībā	in truth, in fact, as a matter of fact	/ˈpatiesiːbaː/
360	saku	to say, tell	/ˈsaku/
361	nedomāju	first-person singular present/past indicative of nedomāt	/ˈneduomaːju/
362	diezgan	enough	/ˈdiezɡan/
363	nogalināt	to kill	/ˈnuoɡalinaːt/
364	tālāk	farther, further, more distant, more distantly; adverbial…	/ˈtaːlaːːk/
365	vēlreiz	again, once more, once again, one more time	[vɛ̂lreīz]
366	tikt	to arrive at	/ˈtikt/
367	pati	self	/ˈpati/
368	cauri	through; adverbial form of caurs	/ˈt͡sauri/
369	durvis	door	/ˈdurʋis/
370	miris	having died; indefinite past active participle of mirt	/ˈmiris/
371	naudas	money	/ˈnaudas/
372	redzējis	having seen; indefinite past active participle of redzēt	/ˈredzeːjis/
373	pilnīgi	complete, full, completely, fully; adverbial form of pilnīgs	/ˈpillniːɡi/
374	šovakar	tonight	/ˈʃuoʋakar/
375	lejā	down, downward; at, to the bottom, or a lower area; to the…	/ˈlejaː/
376	priekš	for	/ˈpriekʃ/
377	vienalga	all the same	/ʋieːˈnallɡa/
378	slikti	bad, badly; adverbial form of slikts	/ˈslikti/
379	ņem	to take; to seize with one's hands for some purpose	/ˈɲem/
380	kura	which, who	/ˈkura/
381	nost	away	/ˈnuost/
382	mašīnu	machine, machinery, mechanism	/ˈmaʃiːnu/
383	vismaz	at least	/ʋisˈmaz/
384	dzīve	life	/ˈdziːʋe/
385	roku	hand, arm	/ˈruoku/
386	nauda	money	[ˈnâwda]
387	meitene	girl	[ˈmɛî̯tɛnɛ]
388	vēlāk	later; adverbial form of vēlāks	/ˈʋæːlaːːk/
389	nespēju	first-person singular present/past indicative of nespēt	/ˈnespeːju/
390	nekādu	no	/neˈkaːdu/
391	tavā	your, yours	/ˈtaʋaː/
392	reiz	once	/ˈreiz/
393	atā	goodbye, bye-bye	/ˈataː/
394	prieks	joy, delight	[pɾiɛ̂ks]
395	pirmais	first	/ˈpirmais/
396	šie	these; nominative plural masculine of šis	/ˈʃie/
397	pašu	self	/ˈpaʃu/
398	vietas	place, spot, site	/ˈʋietas/
399	izdarīt	to do	/ˈizdariːt/
400	zemes	ground, land, mainland	/ˈzemes/
401	mājas	house, dwelling	/ˈmaːjas/
402	būsi	will be; second-person singular future indicative of būt	/ˈbuːsi/
403	piedodiet	I'm sorry	/ˈpieduodiet/
404	šejienes	here	/ˈʃejieːnes/
405	vēlies	having rolled; indefinite past active participle of velties	/ˈʋeːlies/
406	gribat	to want	/ˈɡribat/
407	mīļais	dear, cherished, beloved	/ˈmiːʎais/
408	acis	eye	/ˈat͡sis/
409	ejiet	to go, to walk	/ˈejiet/
410	klau	look here!	/ˈklau/
411	tai	to that; dative singular feminine of tas	/ˈtai/
412	patiešām	truly, really, indeed; adverbial form of patiess	/paˈtieʃaːm/
413	zem	under	/ˈzem/
414	strādā	to work	/ˈstraːdaː/
415	savus	own; used with all persons	/ˈsaʋus/
416	kādreiz	Sometime in the past; once, ever, earlier, formerly,…	/ˈkaːdreiz/
417	iesim	to go, to walk	/ˈiesim/
418	ceļu	road, way	/ˈt͡seʎu/
419	gada	year	/ˈɡada/
420	paliec	to remain	/ˈpaliet͡s/
421	kādas	what, what kind	/ˈkaːdas/
422	sava	own; used with all persons	/ˈsaʋa/
423	iespēja	possibility	/ˈiespeːja/
424	notiks	to happen	/ˈnuotiks/
425	nesaprotu	to not understand; negative form of saprast	/ˈnesapruotu/
426	labā	good following accepted moral rules, treating others in a…	/ˈlabaː/
427	neesam	are not; first-person plural present indicative of nebūt	/ˈneesam/
428	bērns	child	[bæ̀ːɾns]
429	nāciet	to come	/ˈnaːt͡siet/
430	vienīgais	only, unique	/ˈʋieːniːɡais/
431	dzīvo	to live, to be alive	/ˈdziːʋuo/
432	cits	another	/ˈt͡sits/
433	vajadzīga	necessary	/ˈʋa`ja`dziːɡa/
434	minūtes	minute	/ˈminuːtes/
435	svarīgi	important, importantly; adverbial form of svarīgs	/ˈsʋariːɡi/
436	tētis	father, dad	[ˈtɛ̄ːtis]
437	klausies	to listen in	/ˈklausies/
438	kādam	what, what kind	/ˈkaːdam/
439	sieva	wife	/ˈsieʋa/
440	liekas	odd	/ˈliekas/
441	otru	second	/ˈuotru/
442	palikt	to remain	/ˈpalikt/
443	nevienam	nobody	/neˈʋieːnam/
444	dabūt	to get, to obtain	[dabûːt]
445	o	The name of the Latin script letter O/o	[uə̯]
446	runāju	first-person singular present/past indicative of runāt	/ˈrunaːju/
447	bērnu	child	/ˈbæːrnu/
448	dolāru	dollar	/ˈdolaːru/
449	garām	past, by, over	/ˈɡaraːm/
450	laipni	kind, polite, kindly, politely; adverbial form of laipns	/ˈlaipni/
451	pirmā	first	/ˈpirmaː/
452	brauc	to go, to ride	/ˈbraut͡s/
453	labākais	better; indefinite comparative degree of labs	/ˈlabaːːkais/
454	nedrīkst	to not be allowed, to not dare; negative form of drīkstēt	/ˈnedriːkst/
455	viegli	light, easy, mild, lightly, easily, mildly; adverbial form…	/ˈʋieɡli/
456	ūdens	water	[ûːdɛns]
457	atrodas	to locate	/ˈatruodas/
458	puika	boy	/ˈpuika/
459	dzīvot	to live, to be alive	[ˈdzîːvʷôt]
460	dienā	day	/ˈdieːnaː/
461	tām	in that; dative plural feminine of tas	/ˈtaːm/
462	drošs	brave, fearless, confident	[dɾùoʃ]
463	tādēļ	so	/ˈtaːdeːʎ/
464	vēlos	late	/ˈʋæːluos/
465	galvu	head	/ˈɡallʋu/
466	sieviete	woman	/ˈsieʋiete/
467	nevaram	not being able to; adverbial object-of-perception present…	/ˈneʋaram/
468	atradu	to find	/ˈatradu/
469	māte	mother	[ˈmāːtɛ]
470	mammu	mum	/ˈmaːmːu/
471	kuri	which, who	/ˈkuri/
472	puisis	young man, youth, boy	[pūīsis]
473	stundas	hour	/ˈstuŋdas/
474	dieva	god	/ˈdieʋa/
475	nakti	night	/ˈnakti/
476	īsti	truly, really, genuinely, legitimately; adverbial form of…	/ˈiːsti/
477	forši	cool, great, in a cool, great way; adverbial form of foršs	/ˈforʃi/
478	doma	thought	[ˈdūɔ̄ma]
479	būsim	will be; first-person plural future indicative of būt	/ˈbuːsim/
480	sen	long ago, for a long time; adverbial form of sens	[ˈsɛn]
481	pusi	half	/ˈpusi/
482	ceļā	road, way	/ˈt͡seʎaː/
483	pasaule	world	/ˈpasaule/
484	problēma	problem	/ˈproblæːma/
485	daži	several	[ˈdaʒi]
486	mašīna	machine, machinery, mechanism	/ˈmaʃiːna/
487	daļa	part	/ˈdaʎa/
488	gadā	year	/ˈɡadaː/
489	tālu	far, far away	/ˈtaːlu/
490	daru	to do	/ˈdaru/
491	parasti	usual, normal, ordinary, usually, normally, ordinarily;…	/ˈparasti/
492	sirds	heart	[ˈsîɾt͡s]
493	mierā	peace, tranquility, calm, quiet, rest	/ˈmieraː/
494	šim	to this; dative singular masculine of šis	/ˈʃim/
495	jautājums	question; inquiry	/ˈjautaːjums/
496	dzirdēju	to hear	/ˈdzirdeːju/
497	mazais	small, little size of other similar objects, beings, areas,…	/ˈmazais/
498	gribēja	to want	/ˈɡribeːja/
499	ziņu	message	/ˈziɲu/
500	meklē	to search for, to look for	/ˈmekleː/
501	cilvēkus	person, human being	/ˈt͡sillʋæːkus/
502	gadi	year	/ˈɡadi/
503	labrīt	polite greeting, used in the morning; good morning!	[labˈɾîːt]
504	gaida	to wait	/ˈɡaida/
505	liela	shin	/ˈlielːa/
506	aizveries	to close up	/ˈaizʋeries/
507	pasauli	world	/ˈpasauli/
508	bijām	were; first-person plural past indicative of būt	/ˈbijaːm/
509	jaunu	having relatively low age, young, new	/ˈjaunu/
510	mājā	house, dwelling	/ˈmaːjaː/
511	zināju	to know	/ˈzinaːju/
512	šobrīd	now, currently, at this moment, at this point	/ˈʃuobriːd/
513	kuras	which, who	/ˈkuras/
514	dzīves	life	/ˈdziːʋes/
